patch_name,Year,stand_type,landscape_type,stand_category,Percent_Oak,Percent_Pine,Forest_Type,stand_area_ha,forest_area_km2,trap_name,longitude,total_moth_count,complete ,clean_complete,reason_incomplete,
Mont_Royal,2024,Oak,urban,E,0.4,0,,14,,MRMOM,-73.59218029,93,93,93.00,NA,
Mont_Royal,2024,Oak,urban,A,0.8,0,,6.4,,MROak2.1,-73.58858806,15,15,15.00,NA,
Mont_Royal,2024,Oak,urban,C,0.6,0,,8.6,,MROak1.1,-73.58862712,7,7,7.00,NA,
Mont_Royal,2024,Oak,urban,C,0.6,0,,8.6,,MROak1.2,-73.58738426,20,20,20.00,NA,
Mont_Royal,2024,Oak,urban,C,0.6,0,,8.6,,MROak1.3,-73.58927127,6,6,6.00,NA,
Mont_Royal,2024,Oak,urban,E,0.4,0,,11.7,,MROak3.1,-73.61059815,96,96,96.00,NA,
Mont_Royal,2024,Oak,urban,E,0.4,0,,11.7,,MROak3.2,-73.60980668,52,52,52.00,NA,
Mont_Royal,2024,Oak,urban,E,0.4,0,,11.7,,MROak3.3,-73.60889037,0,NA,NA,Missing in field,
Mont_Royal,2024,Oak/Pine,urban,E,0.4,0.1,,8.9,,MROP1.1,-73.59217007,60,60,60.00,NA,
Mont_Royal,2024,Oak/Pine,urban,E,0.4,0.1,,8.9,,MROP1.2,-73.59133632,20,20,20.00,NA,
Mont_Royal,2024,Oak/Pine,urban,E,0.4,0.1,,8.9,,MROP1.3,-73.59048539,15,15,15.00,NA,
Mont_Royal,2024,Oak/Pine,urban,E,0.4,0.1,,8.9,,MROP1.4,-73.59044925,17,17,17.00,NA,
Mont_Royal,2024,Pine,urban,L,0.4,0,,14,,MRPine1.1,-73.58716381,25,25,25.00,NA,
Mont_Saint_Hilaire,2024,MOM,agricultural,MOM,0.1,0,,4.8,,MSH2MOM,-73.1520256,13,13,13.00,NA,
Mont_Saint_Hilaire,2024,MOM,agricultural,MOM,0.1,0,,4.8,,MSH2MOM2,-73.15055123,15,15,15.00,NA,
Mont_Saint_Hilaire,2024,MOM,agricultural,MOM,0.1,0,,4.8,,MSHMOM,-73.15348841,19,19,19.00,NA,
Mont_Saint_Hilaire,2024,Oak,agricultural,C,0.6,0,,8.5,,MSHOak1.1,-73.1725616,3,3,3.00,NA,
Mont_Saint_Hilaire,2024,Oak,agricultural,C,0.6,0,,8.5,,MSHOak1.2,-73.17252673,40,40,40.00,NA,
Mont_Saint_Hilaire,2024,Oak,agricultural,C,0.6,0,,8.5,,MSHOak1.3,-73.17309176,61,61,61.00,NA,
Mont_Saint_Hilaire,2024,Oak,agricultural,C,0.6,0,,8.5,,MSHOak1.4,-73.17277693,16,NA,NA,Trap damaged ,
Mont_Saint_Hilaire,2024,Oak/Pine,agricultural,D,0.6,0.1,,5.7,,MSHOP2.1,-73.16282024,1,NA,NA,Trap damaged ,
Mont_Saint_Hilaire,2024,Oak/Pine,agricultural,D,0.6,0.1,,5.7,,MSHOP2.2,-73.16406772,22,22,22.00,NA,
Mont_Saint_Hilaire,2024,Oak/Pine,agricultural,D,0.6,0.1,,5.7,,MSHOP2.3,-73.16557688,61,61,61.00,NA,
Mont_Saint_Hilaire,2024,Oak/Pine,agricultural,H,0.3,0.2,,7.6,,MSH2Oak1.1,-73.15527787,6,6,6.00,NA,
Mont_Saint_Hilaire,2024,Oak/Pine,agricultural,H,0.3,0.2,,7.6,,MSH2Oak1.2,-73.15571406,14,14,14.00,NA,
Mont_Saint_Hilaire,2024,Oak/Pine,agricultural,H,0.3,0.2,,7.6,,MSH2Oak1.3,-73.16050532,6,6,6.00,NA,
Mont_Saint_Hilaire,2024,Oak/Pine,agricultural,H,0.3,0.2,,7.6,,MSH2Oak1.4,-73.15951215,32,NA,NA,Trap damaged ,
Mont_Saint_Hilaire,2024,Pine,agricultural,L,0,0.7,,3.8,,MSHPine1.1,-73.1633322,122,122,122.00,NA,
Mont_Saint_Hilaire,2024,Pine/Oak,agricultural,I,0.3,0.4,,3.5,,MSHOP1.1,-73.161485,14,14,14.00,NA,
Mont_Saint_Hilaire,2024,Pine/Oak,agricultural,I,0.3,0.4,,3.5,,MSHOP1.2,-73.16269744,0,NA,NA,Missing in field,
Montebello,2024,MOM,forest ,MOM,0.1,0,,5.7,,MontMOM,-74.96243505,39,39,39.00,NA,
Montebello,2024,Oak,forest ,B,0.8,0.1,,7.5,,MontOak2.1,-74.96128522,8,8,NA,Muck,
Montebello,2024,Oak,forest ,B,0.8,0.1,,7.5,,MontOak2.2,-74.95988209,103,103,103.00,NA,
Montebello,2024,Oak,forest ,C,0.7,0,,4.8,,MontOak1.1,-74.96358077,120,120,120.00,NA,
Montebello,2024,Oak,forest ,C,0.7,0,,4.8,,MontOak1.2,-74.96501248,41,41,NA,Muck,
Montebello,2024,Oak/Pine,forest ,G,0.5,0.4,,9.7,,Mont2OP2.1,-74.92175801,20,20,NA,Muck,
Montebello,2024,Oak/Pine,forest ,G,0.5,0.4,,9.7,,Mont2OP2.2,-74.92261942,69,69,69.00,NA,
Montebello,2024,Pine/Oak,forest ,I,0.3,0.4,,7.6,,MontPine2.1,-74.97038134,65,65,NA,Muck,
Montebello,2024,Pine/Oak,forest ,I,0.3,0.4,,7.6,,MontPine2.2,-74.97268861,19,19,NA,Muck,
Montebello,2024,Pine,forest ,I,0.3,0.4,,7.6,,MontPine2.3,-74.97366934,23,NA,NA,Trap damaged ,
Montebello,2024,Pine,forest ,K,0.3,0.6,,12.2,,MontPine1.1,-74.96112554,30,30,30.00,NA,
Montebello,2024,Pine,forest ,K,0.3,0.6,,12.2,,MontPine1.2,-74.96201327,75,75,75.00,NA,
Montebello,2024,Pine,forest ,M,0,0.8,,8.2,,Mont2Pine1.1,-74.91400626,14,NA,NA,Trap damaged ,
Montebello,2024,Pine,forest ,M,0,0.8,,8.2,,Mont2Pine1.2,-74.9123137,49,49,NA,Muck,
Montebello,2024,Pine/Oak,forest ,I,0.2,0.4,,8.7,,Mont2OP1.1,-74.91205981,62,62,NA,Muck,
Montebello,2024,Pine/Oak,forest ,I,0.2,0.4,,8.7,,Mont2OP1.2,-74.91218948,14,NA,NA,Trap damaged ,
Notre_Dame_de_Bonsecours,2024,MOM,forest ,MOM,0.3,0,,4.9,,NDBMOM,-74.90083812,89,89,89.00,NA,
Notre_Dame_de_Bonsecours,2024,Oak,forest ,C,0.7,0,,7.8,,NDBOak1.1,-74.90154966,46,46,46.00,NA,
Notre_Dame_de_Bonsecours,2024,Oak,forest ,C,0.7,0,,7.8,,NDBOak1.2,-74.90152717,41,41,41.00,NA,
Notre_Dame_de_Bonsecours,2024,Oak,forest ,C,0.7,0,,7.8,,NDBOak1.3,-74.89949827,18,18,NA,Muck,
Notre_Dame_de_Bonsecours,2024,Oak,forest ,C,0.7,0,,7.8,,NDBOak1.4,-74.89810528,25,25,NA,Muck,
Notre_Dame_de_Bonsecours,2024,Oak/Pine,forest ,F,0.4,0.3,,5.5,,NDBOP1.1,-74.8904555,0,NA,NA,Trap damaged ,
Notre_Dame_de_Bonsecours,2024,Oak/Pine,forest ,F,0.4,0.3,,5.5,,NDBOP2.1,-74.90869045,104,104,104.00,NA,
Notre_Dame_de_Bonsecours,2024,Oak/Pine,forest ,F,0.4,0.3,,5.5,,NDBOP2.2,-74.90787213,90,90,90.00,NA,
Notre_Dame_de_Bonsecours,2024,Oak/Pine,forest ,F,0.4,0.3,,5.5,,NDBOP2.3,-74.90792167,89,89,89.00,NA,
Notre_Dame_de_Bonsecours,2024,Pine/Oak,forest ,H,0.2,0.3,,4.9,,NDBPine1.1,-74.90298816,82,82,NA,Muck,
Notre_Dame_de_Bonsecours,2024,Pine,forest ,M,0,0.8,,4.4,,NBDPine2.1,-74.89585784,41,41,41.00,NA,
Notre_Dame_de_Bonsecours,2024,Pine,forest ,M,0,0.8,,4.4,,NBDPine2.2,-74.89545199,39,39,39.00,NA,
Oka,2024,MOM,agricultural,MOM,0.3,0.1,,19.1,,OkaMOM1,-74.04560882,126,126,126.00,NA,
Oka,2024,MOM,agricultural,MOM,0,0,,6.3,,OkaMOM2,-74.05562242,75,75,75.00,NA,
Oka,2024,Oak,agricultural,E,0.4,0.1,,8.1,,OkaOak1.1,-74.05530073,263,263,263.00,NA,
Oka,2024,Oak,agricultural,E,0.4,0.1,,8.1,,OkaOak1.2,-74.05667586,152,152,152.00,NA,
Oka,2024,Oak,agricultural,E,0.4,0.1,,8.1,,OkaOak1.3,-74.05567456,95,95,95.00,NA,
Oka,2024,Oak,agricultural,E,0.4,0.1,,8.1,,OkaOak1.4,-74.05428425,79,79,79.00,NA,
Oka,2024,Oak,agricultural,E,0.4,0.1,,8.1,,OkaOak1.5,-74.05293468,20,20,20.00,NA,
Oka,2024,Oak,agricultural,E,0.4,0.1,,8.1,,OkaOak1.6,-74.05192341,101,101,101.00,NA,
